salute	[textstructure] Default text structure
signed	[textstructure] Default text structure
text	[textstructure] Default text structure
titlePage	[textstructure] Default text structure
titlePart	[textstructure] Default text structure
trailer	[textstructure] Default text structure
addSpan	[transcr] Transcription of primary sources
am	[transcr] Transcription of primary sources
damage	[transcr] Transcription of primary sources
damageSpan	[transcr] Transcription of primary sources
delSpan	[transcr] Transcription of primary sources
ex	[transcr] Transcription of primary sources
facsimile	[transcr] Transcription of primary sources
fw	[transcr] Transcription of primary sources
handNotes	[transcr] Transcription of primary sources
handShift	[transcr] Transcription of primary sources
line	[transcr] Transcription of primary sources
listTranspose	[transcr] Transcription of primary sources
metamark	[transcr] Transcription of primary sources
mod	[transcr] Transcription of primary sources
path	[transcr] Transcription of primary sources
redo	[transcr] Transcription of primary sources
restore	[transcr] Transcription of primary sources
retrace	[transcr] Transcription of primary sources
secl	[transcr] Transcription of primary sources
sourceDoc	[transcr] Transcription of primary sources
space	[transcr] Transcription of primary sources
subst	[transcr] Transcription of primary sources
substJoin	[transcr] Transcription of primary sources
supplied	[transcr] Transcription of primary sources
surface	[transcr] Transcription of primary sources
surfaceGrp	[transcr] Transcription of primary sources
surplus	[transcr] Transcription of primary sources
transpose	[transcr] Transcription of primary sources
undo	[transcr] Transcription of primary sources
zone	[transcr] Transcription of primary sources
caesura	[verse] Verse structures
metDecl	[verse] Verse structures
metSym	[verse] Verse structures
rhyme	[verse] Verse structures
